GridSize,BudgetJ1,BudgetJ2,StrategieJ1,StrategieJ2,NbGames,StartPlayer,VictoiresJ1,VictoiresJ2,PourcentageJ1,PourcentageJ2
9,500,100,MCTS,MCTS,30,ROUGE,30,0,100.0,0.0
9,500,250,RAVE,RAVE,30,BLEU,21,9,70.0,30.0
9,500,250,RAVE,MCTS,30,BLEU,29,1,96.66666666666667,3.3333333333333335
9,500,250,MCTS,RAVE,30,BLEU,4,26,13.333333333333334,86.66666666666667
9,500,250,MCTS,MCTS,30,BLEU,20,10,66.66666666666667,33.333333333333336
9,500,250,RAVE,RAVE,30,ROUGE,14,16,46.666666666666664,53.333333333333336
9,500,250,RAVE,MCTS,30,ROUGE,29,1,96.66666666666667,3.3333333333333335
9,500,250,MCTS,RAVE,30,ROUGE,4,26,13.333333333333334,86.66666666666667
9,500,250,MCTS,MCTS,30,ROUGE,26,4,86.66666666666667,13.333333333333334
9,500,500,RAVE,RAVE,30,BLEU,21,9,70.0,30.0
9,500,500,RAVE,MCTS,30,BLEU,26,4,86.66666666666667,13.333333333333334
9,500,500,MCTS,RAVE,30,BLEU,4,26,13.333333333333334,86.66666666666667
9,500,500,MCTS,MCTS,30,BLEU,18,12,60.0,40.0
9,500,500,RAVE,RAVE,30,ROUGE,15,15,50.0,50.0
9,500,500,RAVE,MCTS,30,ROUGE,26,4,86.66666666666667,13.333333333333334
9,500,500,MCTS,RAVE,30,ROUGE,4,26,13.333333333333334,86.66666666666667
9,500,500,MCTS,MCTS,30,ROUGE,13,17,43.333333333333336,56.666666666666664
9,500,1000,RAVE,RAVE,30,BLEU,15,15,50.0,50.0
9,500,1000,RAVE,MCTS,30,BLEU,17,13,56.666666666666664,43.333333333333336
9,500,1000,MCTS,RAVE,30,BLEU,5,25,16.666666666666668,83.33333333333333
9,500,1000,MCTS,MCTS,30,BLEU,7,23,23.333333333333332,76.66666666666667
9,500,1000,RAVE,RAVE,30,ROUGE,14,16,46.666666666666664,53.333333333333336
9,500,1000,RAVE,MCTS,30,ROUGE,16,14,53.333333333333336,46.666666666666664
9,500,1000,MCTS,RAVE,30,ROUGE,3,27,10.0,90.0
9,500,1000,MCTS,MCTS,30,ROUGE,8,22,26.666666666666668,73.33333333333333
9,500,2000,RAVE,RAVE,30,BLEU,11,19,36.666666666666664,63.333333333333336
9,500,2000,RAVE,MCTS,30,BLEU,7,23,23.333333333333332,76.66666666666667
9,500,2000,MCTS,RAVE,30,BLEU,1,29,3.3333333333333335,96.66666666666667
9,500,2000,MCTS,MCTS,30,BLEU,1,29,3.3333333333333335,96.66666666666667
9,500,2000,RAVE,RAVE,30,ROUGE,8,22,26.666666666666668,73.33333333333333
9,500,2000,RAVE,MCTS,30,ROUGE,3,27,10.0,90.0
9,500,2000,MCTS,RAVE,30,ROUGE,3,27,10.0,90.0
9,500,2000,MCTS,MCTS,30,ROUGE,0,30,0.0,100.0
9,500,3000,RAVE,RAVE,30,BLEU,12,18,40.0,60.0
9,500,3000,RAVE,MCTS,30,BLEU,4,26,13.333333333333334,86.66666666666667
9,500,3000,MCTS,RAVE,30,BLEU,7,23,23.333333333333332,76.66666666666667
9,500,3000,MCTS,MCTS,30,BLEU,0,30,0.0,100.0
9,500,3000,RAVE,RAVE,30,ROUGE,6,24,20.0,80.0
9,500,3000,RAVE,MCTS,30,ROUGE,1,29,3.3333333333333335,96.66666666666667
9,500,3000,MCTS,RAVE,30,ROUGE,3,27,10.0,90.0
9,500,3000,MCTS,MCTS,30,ROUGE,0,30,0.0,100.0
9,500,5000,RAVE,RAVE,30,BLEU,13,17,43.333333333333336,56.666666666666664
9,500,5000,RAVE,MCTS,30,BLEU,1,29,3.3333333333333335,96.66666666666667
9,500,5000,MCTS,RAVE,30,BLEU,5,25,16.666666666666668,83.33333333333333
9,500,5000,MCTS,MCTS,30,BLEU,0,30,0.0,100.0
9,500,5000,RAVE,RAVE,30,ROUGE,4,26,13.333333333333334,86.66666666666667
9,500,5000,RAVE,MCTS,30,ROUGE,0,30,0.0,100.0
