GridSize,BudgetJ1,BudgetJ2,StrategieJ1,StrategieJ2,NbGames,StartPlayer,VictoiresJ1,VictoiresJ2,PourcentageJ1,PourcentageJ2
11,1000,250,MCTS,RAVE,30,ROUGE,11,19,36.666666666666664,63.333333333333336
11,1000,250,MCTS,MCTS,30,ROUGE,30,0,100.0,0.0
11,1000,500,RAVE,RAVE,30,BLEU,23,7,76.66666666666667,23.333333333333332
11,1000,500,RAVE,MCTS,30,BLEU,29,1,96.66666666666667,3.3333333333333335
11,1000,500,MCTS,RAVE,30,BLEU,7,23,23.333333333333332,76.66666666666667
11,1000,500,MCTS,MCTS,30,BLEU,22,8,73.33333333333333,26.666666666666668
11,1000,500,RAVE,RAVE,30,ROUGE,16,14,53.333333333333336,46.666666666666664
11,1000,500,RAVE,MCTS,30,ROUGE,29,1,96.66666666666667,3.3333333333333335
11,1000,500,MCTS,RAVE,30,ROUGE,3,27,10.0,90.0
11,1000,500,MCTS,MCTS,30,ROUGE,26,4,86.66666666666667,13.333333333333334
11,1000,1000,RAVE,RAVE,30,BLEU,15,15,50.0,50.0
11,1000,1000,RAVE,MCTS,30,BLEU,22,8,73.33333333333333,26.666666666666668
11,1000,1000,MCTS,RAVE,30,BLEU,6,24,20.0,80.0
11,1000,1000,MCTS,MCTS,30,BLEU,15,15,50.0,50.0
11,1000,1000,RAVE,RAVE,30,ROUGE,15,15,50.0,50.0
11,1000,1000,RAVE,MCTS,30,ROUGE,25,5,83.33333333333333,16.666666666666668
11,1000,1000,MCTS,RAVE,30,ROUGE,6,24,20.0,80.0
11,1000,1000,MCTS,MCTS,30,ROUGE,11,19,36.666666666666664,63.333333333333336
